metric_key,metric_label,left_mean,right_mean
feasible_rate,Feasible Rate,0.0,0.641666678711772
mean_violation,Mean Violation,86.21523030598958,0.09419935543943818
security_return,Security Return,-497.3233337402344,-170.5458221435547
business_return,Business Return,-110.8489990234375,-27.864521662394207
cost_return,Cost Return,-27.010583877563477,-20.637250264485676
high_disruption_action_rate,High-Disruption Action Rate,0.9715833333333332,0.47475
