assignment_rule,expected_utility,feasible_assignment_rate,mean_violation,final_critical_compromised_hosts,critical_impact_count
Raw Pareto Assignment,-41.91929185668349,0.6794871794871794,1.188678781469385,0.0,0.0
Acceptable Pareto Assignment,-43.70573390836204,1.0,0.0,0.0,0.0
