method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,0,11,100,-481.1499895453453,-91.98749980330467,-21.700000289827585,-0.41409901017323136,False,False,True,5,74,True,False,8,7,5,6,1,1,94,0.94,0,0.0,0.6213942563533783,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,1,1011,100,-448.39999121427536,-113.09499955549836,-22.020000278949738,-0.578534655738622,False,True,False,5,36,True,False,44,43,5,6,1,1,90,0.9,0,0.0,0.6407111477851868,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,2,2011,100,-1034.4999781250954,-147.7650004811585,-21.320000275969505,-1.3317623776383698,True,False,False,5,12,True,True,86,83,4,6,1,1,93,0.93,0,0.0,0.7118429952859878,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,3,3011,100,-520.849996984005,-146.3949989490211,-22.240000292658806,-2.036099027376622,True,True,False,5,12,True,True,82,77,5,7,2,1,94,0.94,0,0.0,0.7133093333244324,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,4,4011,100,-988.1999992728233,-124.40249988809228,-21.67000027373433,-0.6381782335229218,False,False,True,5,12,True,False,52,51,5,7,2,1,94,0.94,0,0.0,0.6767974084615708,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,5,5011,100,-473.699990183115,-116.55499974638224,-21.140000253915787,-1.5348514970391989,False,False,True,9,52,True,True,40,36,5,13,4,1,90,0.9,0,0.0,0.634416156411171,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,6,6011,100,-498.54998940229416,-106.64749950915575,-20.72000026702881,-1.1835445542819798,False,False,True,5,36,True,True,46,43,4,6,1,1,92,0.92,0,0.0,0.6549766898155213,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_000,7,7011,100,-476.04999727010727,-133.62749876827002,-21.110000267624855,-1.2810296942479908,True,False,False,5,20,True,True,78,75,4,10,5,1,94,0.94,0,0.0,0.7082740020751953,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_001,0,12,100,-406.70000034570694,-115.8275000192225,-22.540000304579735,-2.3612375878728926,False,True,False,5,32,True,True,45,39,4,8,3,1,91,0.91,0,0.0,0.6472141516208648,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_001,1,1012,100,-1183.9500082433224,-147.84999936074018,-21.59000028669834,-1.312425727955997,True,False,False,6,13,True,True,85,82,5,7,1,1,93,0.93,0,0.0,0.7105834645032882,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_001,2,2012,100,-977.2499813139439,-126.47500005736947,-21.030000284314156,-0.6293564448133111,True,False,False,5,24,True,False,55,54,5,6,1,1,94,0.94,0,0.0,0.6805747246742249,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_001,3,3012,100,-368.7999960780144,-108.57999972626567,-22.420000299811363,-1.6570792091079056,False,True,False,5,16,True,True,55,51,5,6,1,1,90,0.9,0,0.0,0.6533004140853882,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_007_obj_0,audit_shortlist,episode_001,4,4012,100,-420.74998968839645,-102.01999992132187,-22.440000295639038,-1.0150098842568696,False,True,False,5,76,True,True,22,19,4,6,1,1,94,0.94,0,0.0,0.6377666312456131,False,Tier 3 Persistent Critical Breach
