selector,preference_index,preference,selected_policy_id,selected_utility,selected_passed_strict,selected_near_strict,selected_strict_margin,selected_business_return,selected_cost_return,selected_mean_violation,selected_final_critical_compromised_hosts,selected_high_disruption_action_rate
risk_adjusted_utility,9,"[0.0, 0.9, 0.1]",stage1_pref_000_ckpt_015,-12.646750450134277,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,10,"[0.0, 1.0, 0.0]",stage1_pref_000_ckpt_015,-13.577500343322754,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,10,"[0.0, 1.0, 0.0]",stage1_pref_000_ckpt_008,-16.956249237060547,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,10,"[0.0, 1.0, 0.0]",stage1_pref_000_ckpt_015,-13.577500343322754,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,11,"[0.1, 0.0, 0.9]",stage1_pref_000_ckpt_015,-12.640501022338867,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,11,"[0.1, 0.0, 0.9]",stage1_pref_000_ckpt_008,-14.633500099182129,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,11,"[0.1, 0.0, 0.9]",stage1_pref_000_ckpt_015,-12.640501022338867,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,12,"[0.1, 0.1, 0.8]",stage1_pref_000_ckpt_015,-13.571250915527344,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,12,"[0.1, 0.1, 0.8]",stage1_pref_000_ckpt_008,-15.90262508392334,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,12,"[0.1, 0.1, 0.8]",stage1_pref_000_ckpt_015,-13.571250915527344,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,13,"[0.1, 0.2, 0.7]",stage1_pref_000_ckpt_015,-14.50200080871582,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,13,"[0.1, 0.2, 0.7]",stage1_pref_000_ckpt_008,-17.171749114990234,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,13,"[0.1, 0.2, 0.7]",stage1_pref_000_ckpt_015,-14.50200080871582,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,14,"[0.1, 0.3, 0.6]",stage1_pref_000_ckpt_015,-15.432750701904297,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,14,"[0.1, 0.3, 0.6]",stage1_pref_000_ckpt_008,-18.440876007080078,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,14,"[0.1, 0.3, 0.6]",stage1_pref_000_ckpt_015,-15.432750701904297,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,15,"[0.1, 0.4, 0.5]",stage1_pref_000_ckpt_015,-16.363500595092773,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,15,"[0.1, 0.4, 0.5]",stage1_pref_000_ckpt_008,-19.709999084472656,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,15,"[0.1, 0.4, 0.5]",stage1_pref_000_ckpt_015,-16.363500595092773,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,16,"[0.1, 0.5, 0.4]",stage1_pref_000_ckpt_015,-17.29425048828125,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,16,"[0.1, 0.5, 0.4]",stage1_pref_000_ckpt_008,-20.979124069213867,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,16,"[0.1, 0.5, 0.4]",stage1_pref_000_ckpt_015,-17.29425048828125,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,17,"[0.1, 0.6, 0.3]",stage1_pref_000_ckpt_015,-18.225000381469727,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,17,"[0.1, 0.6, 0.3]",stage1_pref_000_ckpt_008,-22.248249053955078,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,17,"[0.1, 0.6, 0.3]",stage1_pref_000_ckpt_015,-18.225000381469727,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,18,"[0.1, 0.7, 0.2]",stage1_pref_000_ckpt_015,-19.155750274658203,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,18,"[0.1, 0.7, 0.2]",stage1_pref_000_ckpt_008,-23.517375946044922,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,18,"[0.1, 0.7, 0.2]",stage1_pref_000_ckpt_015,-19.155750274658203,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,19,"[0.1, 0.8, 0.1]",stage1_pref_000_ckpt_015,-20.08650016784668,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,19,"[0.1, 0.8, 0.1]",stage1_pref_000_ckpt_008,-24.786500930786133,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,19,"[0.1, 0.8, 0.1]",stage1_pref_000_ckpt_015,-20.08650016784668,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
