policy_id,best_shell_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,high_disruption_action_rate,final_critical_compromised_hosts,strict_margin,passed_S0,margin_S0,passed_S1,margin_S1,passed_S2,margin_S2,passed_STRICT,margin_STRICT
stage1_pref_000_ckpt_096,,cost,high_disruption,-112.79475402832031,-25.423748016357422,4.616562366485596,0.939,0.525,-4.116562366485596,False,-0.4432396543596031,False,-0.5776447637811398,False,-2.1480615866330415,False,-4.116562366485596
stage1_pref_000_ckpt_191,,cost,mean_violation,-109.0921859741211,-30.797250747680664,11.166250228881836,0.99025,0.375,-10.666250228881836,False,-0.7482793447965,False,-0.9110919975163637,False,-2.8134283737512407,False,-10.666250228881836
stage1_pref_001_ckpt_000,,mean_violation,high_disruption,-145.9943084716797,-20.815250396728516,24.355499267578125,0.8955,0.975,-23.855499267578125,False,-2.209553484898212,False,-2.4608472442263745,False,-3.179766205782757,False,-23.855499267578125
stage1_pref_002_ckpt_000,,mean_violation,business,-148.7973175048828,-20.931499481201172,24.871374130249023,0.89775,0.975,-24.371374130249023,False,-2.277535173348379,False,-2.5341515964478423,False,-3.2682980110114435,False,-24.371374130249023
stage1_pref_002_ckpt_191,,mean_violation,business,-163.86160278320312,-0.03700000047683716,38.86161804199219,0.00175,1.0,-38.36161804199219,False,-4.1211613543680015,False,-4.522125505587327,False,-5.669232110966636,False,-38.36161804199219
stage1_pref_003_ckpt_191,,cost,mean_violation,-119.70206451416016,-29.0935001373291,10.50500202178955,0.99425,0.625,-10.00500202178955,False,-0.6515618804628894,False,-0.8053674903555516,False,-2.6024637336753744,False,-10.00500202178955
stage1_pref_004_ckpt_191,,mean_violation,business,-145.59881591796875,-19.194751739501953,25.202251434326172,0.7365,0.85,-24.702251434326172,False,-2.321137991451485,False,-2.581168321229864,False,-3.3250814814978478,False,-24.702251434326172
stage1_pref_005_ckpt_000,,mean_violation,business,-148.2998046875,-20.919750213623047,25.723499298095703,0.8985,0.95,-25.223499298095703,False,-2.3898277308519127,False,-2.655236161641047,False,-3.41453537369215,False,-25.223499298095703
stage1_pref_005_ckpt_096,,mean_violation,high_disruption,-139.7053680419922,-19.241500854492188,18.30093765258789,0.89,0.975,-17.80093765258789,False,-1.41168688740287,False,-1.6005112416656944,False,-2.140713310535658,False,-17.80093765258789
stage2_ext_000_obj_0,,business,,-130.9708709716797,-17.61574935913086,7.03743839263916,0.6615,1.0,-6.53743839263916,False,-0.09414045199017004,False,-0.16114328277001028,False,-1.1812465983204326,False,-6.53743839263916
stage2_ext_001_obj_1,,business,,-132.32681274414062,-16.115001678466797,7.588438510894775,0.55475,0.975,-7.088438510894775,False,-0.10546809097421227,False,-0.1731646022377622,False,-0.9954185244389775,False,-7.088438510894775
