method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,0,11,100,-243.09999758005142,-58.19749994575977,-24.040000289678574,-0.958475261926651,False,True,False,5,12,True,False,2,0,4,6,1,1,67,0.67,0,0.0,0.6494182687997818,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,1,1011,100,-260.349996984005,-61.92999982088804,-25.340000316500664,-1.7535841464996338,False,True,False,5,16,True,False,4,0,4,6,1,1,66,0.66,0,0.0,0.6403680676221848,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,2,2011,100,-583.1499924063683,-143.23250127583742,-32.250000461936,-13.370287120342255,True,True,False,5,30,True,False,33,0,4,6,1,1,94,0.94,0,0.0,0.9206835782527923,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,3,3011,100,-236.24999755620956,-52.98249979317188,-26.690000355243683,0.0,False,True,False,5,,False,False,0,0,4,6,1,,66,0.66,0,0.0,0.6391016972064972,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,4,4011,100,-234.99999803304672,-54.58249983936548,-24.780000299215317,-0.3723069429397583,False,True,False,5,88,True,False,1,0,4,6,1,1,67,0.67,0,0.0,0.6491016441583634,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,5,5011,100,-218.19999808073044,-51.152499973773956,-24.7700002938509,-0.46735644340515137,False,True,False,5,24,True,False,1,0,4,6,1,1,60,0.6,0,0.0,0.5813181549310684,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,6,6011,100,-234.69999796152115,-52.175000086426735,-25.40000031888485,0.0,False,True,False,5,,False,False,0,0,4,6,1,,67,0.67,0,0.0,0.6487850338220597,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,7,7011,100,-361.1499883532524,-75.94499974697828,-29.250000417232513,-0.8574851751327515,False,True,False,5,34,True,False,2,0,4,8,3,1,88,0.88,0,0.0,0.8527687102556228,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,0,12,100,-220.14999741315842,-48.105000019073486,-24.89000029861927,0.0,False,True,False,5,,False,False,0,0,4,6,1,,60,0.6,0,0.0,0.5810015481710434,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,1,1012,100,-293.399993956089,-65.23249996453524,-26.440000355243683,-0.9495643377304077,False,True,False,5,16,True,False,2,0,4,6,1,1,75,0.75,0,0.0,0.7268851464986801,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,2,2012,100,-241.04999655485153,-56.33749970048666,-25.720000341534615,-0.7951089143753052,False,True,False,5,70,True,False,2,0,4,6,1,1,64,0.64,0,0.0,0.6203681927919388,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,3,3012,100,-281.6499959230423,-62.84499966353178,-27.480000361800194,-1.2624653279781342,False,True,False,7,52,True,False,3,0,4,8,1,1,71,0.71,0,0.0,0.6884683018922806,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,4,4012,100,-319.1499906182289,-66.76249963790178,-28.97000040113926,0.0,False,True,False,5,,False,False,0,0,4,6,1,,83,0.83,0,0.0,0.8037188082933426,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,5,5012,100,-333.6499904990196,-71.8575000539422,-26.41000036895275,-0.47329702973365784,False,True,False,5,20,True,False,1,0,4,6,1,1,86,0.86,0,0.0,0.8330854856967926,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,6,6012,100,-567.0999929308891,-139.22750119119883,-32.630000457167625,-13.10788118839264,True,True,False,5,28,True,False,32,0,4,6,1,1,93,0.93,0,0.0,0.9106832110881805,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,7,7012,100,-217.79999893903732,-51.78999977558851,-24.56000031530857,0.0,False,True,False,5,,False,False,0,0,3,6,1,,65,0.65,0,0.0,0.6294182759523391,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,0,13,100,-211.94999891519547,-50.000000052154064,-23.480000287294388,0.0,False,True,False,5,,False,False,0,0,3,6,1,,63,0.63,0,0.0,0.6100516241788864,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,1,1013,100,-224.29999774694443,-50.36499982327223,-25.720000311732292,0.0,False,True,False,5,,False,False,0,0,4,6,1,,62,0.62,0,0.0,0.6003682523965835,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,2,2013,100,-236.84999817609787,-56.10749992728233,-23.330000281333923,-0.4435940682888031,False,True,False,5,40,True,False,1,0,4,6,1,1,68,0.68,0,0.0,0.6587850004434586,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,3,3013,100,-219.24999806284904,-50.83249980583787,-24.090000301599503,-0.45399010181427,False,True,False,10,33,True,False,1,0,4,11,1,1,61,0.61,0,0.0,0.5910014897584915,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,4,4013,100,-241.64999741315842,-53.8099999204278,-26.370000332593918,0.0,False,True,False,5,,False,False,0,0,4,6,1,,68,0.68,0,0.0,0.6584684139490128,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,5,5013,100,-239.399997651577,-57.27249975502491,-23.880000293254852,-0.8693663477897644,False,True,False,5,14,True,False,2,0,4,6,1,1,66,0.66,0,0.0,0.6397348922491074,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,6,6013,100,-268.7999947667122,-59.57499993592501,-25.980000346899033,-0.47329702973365784,False,True,False,5,20,True,False,1,0,4,6,1,1,74,0.74,0,0.0,0.7168851083517075,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,7,7013,100,-224.44999784231186,-52.36499985307455,-24.000000298023224,-0.48517823219299316,False,True,False,5,12,True,False,1,0,4,6,1,1,62,0.62,0,0.0,0.6006848055124283,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,0,14,100,-285.7999945282936,-64.72999992221594,-26.520000353455544,-1.3575148284435272,False,True,False,5,20,True,False,3,0,4,6,1,1,71,0.71,0,0.0,0.6884683054685593,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,1,1014,100,-243.49999517202377,-54.1949999704957,-23.840000301599503,0.0,False,True,False,5,,False,False,0,0,4,6,1,,66,0.66,0,0.0,0.6391017031669617,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,2,2014,100,-296.24999445676804,-64.74999947100878,-26.66000033915043,-0.869366317987442,False,True,False,5,45,True,False,2,0,5,6,1,1,73,0.73,0,0.0,0.7075183767080307,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,3,3014,100,-275.84999564290047,-61.84500000998378,-26.890000358223915,-0.9673861563205719,False,True,False,5,12,True,False,2,0,4,6,1,1,71,0.71,0,0.0,0.6881516742706298,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,4,4014,100,-219.04999846220016,-51.582499876618385,-24.080000296235085,0.0,False,True,False,5,,False,False,0,0,4,6,1,,64,0.64,0,0.0,0.6197349828481674,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,5,5014,100,-214.79999893903732,-51.499999947845936,-24.510000303387642,0.0,False,True,False,5,,False,False,0,0,3,6,1,,64,0.64,0,0.0,0.6197343677282333,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,6,6014,100,-263.1999959051609,-58.40999995544553,-25.840000316500664,-0.47329702973365784,False,True,False,5,20,True,False,1,0,4,6,1,1,70,0.7,0,0.0,0.6781517297029496,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,7,7014,100,-251.0999960526824,-56.90500000864267,-25.300000324845314,0.0,False,True,False,5,,False,False,0,0,4,7,2,,71,0.71,0,0.0,0.6875184214115143,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_004,0,15,100,-250.6999962925911,-55.637500055134296,-24.370000302791595,0.0,False,True,False,5,,False,False,0,0,4,6,1,,69,0.69,0,0.0,0.6681517708301544,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_004,1,1015,100,-296.19999235868454,-64.17750009149313,-24.890000328421593,0.0,False,True,False,5,,False,False,0,0,4,6,1,,76,0.76,0,0.0,0.7359352964162826,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_004,2,2015,100,-344.9999969601631,-85.28750036656857,-26.930000364780426,-6.0340495109558105,False,True,False,5,12,True,False,13,0,4,6,1,1,73,0.73,0,0.0,0.7110010170936585,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_004,3,3015,100,-304.19999581575394,-73.36249997466803,-25.8600003272295,-3.209118813276291,False,True,False,5,16,True,False,7,0,4,6,1,1,73,0.73,0,0.0,0.70910142660141,False,Tier 2 Transient Critical Breach
