seed,left_method_name,left_policy_id,right_method_name,right_policy_id,left_ever_critical_breach_rate,left_persistent_critical_breach_rate,left_mean_critical_dwell_steps,left_high_confidence_env_run_rate,left_Q2_user_action_during_critical_breach,left_Q3_missed_immediate_response_to_critical_hit,left_Q4_user_focus_after_enterprise_foothold,left_Q5_repeated_low_value_decoy_loop,left_Tier 0 Safe,left_Tier 1 Near-Miss,left_Tier 2 Transient Critical Breach,left_Tier 3 Persistent Critical Breach,left_precritical_action_family_step_rates.restore,left_precritical_action_family_step_rates.decoy,left_precritical_compromised_target_focus_step_rate,right_ever_critical_breach_rate,right_persistent_critical_breach_rate,right_mean_critical_dwell_steps,right_high_confidence_env_run_rate,right_Q2_user_action_during_critical_breach,right_Q3_missed_immediate_response_to_critical_hit,right_Q4_user_focus_after_enterprise_foothold,right_Q5_repeated_low_value_decoy_loop,right_Tier 0 Safe,right_Tier 1 Near-Miss,right_Tier 2 Transient Critical Breach,right_Tier 3 Persistent Critical Breach,right_precritical_action_family_step_rates.restore,right_precritical_action_family_step_rates.decoy,right_precritical_compromised_target_focus_step_rate,delta_ever_critical_breach_rate,delta_persistent_critical_breach_rate,delta_mean_critical_dwell_steps,delta_high_confidence_env_run_rate,delta_Q2_user_action_during_critical_breach,delta_Q3_missed_immediate_response_to_critical_hit,delta_Q4_user_focus_after_enterprise_foothold,delta_Q5_repeated_low_value_decoy_loop,delta_Tier 0 Safe,delta_Tier 1 Near-Miss,delta_Tier 2 Transient Critical Breach,delta_Tier 3 Persistent Critical Breach,delta_precritical_action_family_step_rates.restore,delta_precritical_action_family_step_rates.decoy,delta_precritical_compromised_target_focus_step_rate
7,ours_stage2_v2_4,stage2_ext_008_obj_0,no_constraint_stage2_4obj,stage2_ext_008_obj_0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.025,0.00625,0.99375,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19375,-0.025,-0.00625,0.006249999999999978,0.0,0.0,0.0,0.0,0.0
11,ours_stage2_v2_4,stage2_ext_005_obj_1,no_constraint_stage2_4obj,stage2_ext_002_obj_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.61875,0.025,0.975,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.61875,-0.025,0.025000000000000022,0.0,0.0,0.0,0.0,0.0
19,ours_stage2_v2_4,stage2_ext_005_obj_2,no_constraint_stage2_4obj,stage2_ext_009_obj_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4625,0.11875,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4625,-0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
