method_name,display_name,num_runs,train_red_policy,eval_red_policy,security_return,business_return,cost_return,feasible_rate,mean_violation,critical_impact_count,high_disruption_action_rate
ours_stage2,Ours Stage2,5,bline,meander,-664.6105041503906,-159.79653930664062,-22.309550857543947,0.2950000032782555,24.621589851379394,2.9549999999999996,0.8756
weighted_sum,Weighted-Sum,5,bline,meander,-663.5964965820312,-163.1361877441406,-22.513000869750975,0.34000000059604646,23.817618370056152,3.35,0.9012499999999999
stage1_only,Stage1 Only,5,bline,meander,-672.7152465820312,-162.2827941894531,-22.11359977722168,0.31499999910593035,28.140886116027833,3.07,0.8618
