method_name,display_name,seed,preference_index,pref_security,pref_business,pref_cost,assigned_policy_id,utility
ours_stage2,Ours Stage2,7,0,0.0,0.0,1.0,stage1_pref_002_ckpt_191,-0.05000000074505806
ours_stage2,Ours Stage2,7,1,0.0,0.10000000149011612,0.8999999761581421,stage1_pref_002_ckpt_191,-16.43187713623047
ours_stage2,Ours Stage2,7,2,0.0,0.20000000298023224,0.800000011920929,stage2_ext_007_obj_0,-32.70764923095703
ours_stage2,Ours Stage2,7,3,0.0,0.30000001192092896,0.699999988079071,stage2_ext_007_obj_0,-48.927101135253906
ours_stage2,Ours Stage2,7,4,0.0,0.4000000059604645,0.6000000238418579,stage1_pref_000_ckpt_191,-58.883792877197266
ours_stage2,Ours Stage2,7,5,0.0,0.5,0.5,stage1_pref_000_ckpt_191,-65.8659896850586
ours_stage2,Ours Stage2,7,6,0.0,0.6000000238418579,0.4000000059604645,stage1_pref_000_ckpt_191,-72.84819030761719
ours_stage2,Ours Stage2,7,7,0.0,0.699999988079071,0.30000001192092896,stage1_pref_000_ckpt_191,-79.83038330078125
ours_stage2,Ours Stage2,7,8,0.0,0.800000011920929,0.20000000298023224,stage1_pref_000_ckpt_191,-86.81258392333984
ours_stage2,Ours Stage2,7,9,0.0,0.8999999761581421,0.10000000149011612,stage1_pref_000_ckpt_191,-93.7947769165039
ours_stage2,Ours Stage2,7,10,0.0,1.0,0.0,stage1_pref_000_ckpt_191,-100.7769775390625
ours_stage2,Ours Stage2,7,11,0.10000000149011612,0.0,0.8999999761581421,stage2_ext_006_obj_1,-65.54066467285156
ours_stage2,Ours Stage2,7,12,0.10000000149011612,0.10000000149011612,0.800000011920929,stage2_ext_006_obj_1,-73.05364990234375
ours_stage2,Ours Stage2,7,13,0.10000000149011612,0.20000000298023224,0.699999988079071,stage1_pref_000_ckpt_191,-80.36827087402344
ours_stage2,Ours Stage2,7,14,0.10000000149011612,0.30000001192092896,0.6000000238418579,stage1_pref_000_ckpt_191,-87.35047912597656
ours_stage2,Ours Stage2,7,15,0.10000000149011612,0.4000000059604645,0.5,stage1_pref_000_ckpt_191,-94.3326644897461
ours_stage2,Ours Stage2,7,16,0.10000000149011612,0.5,0.4000000059604645,stage1_pref_000_ckpt_191,-101.31486511230469
ours_stage2,Ours Stage2,7,17,0.10000000149011612,0.6000000238418579,0.30000001192092896,stage1_pref_000_ckpt_191,-108.29706573486328
ours_stage2,Ours Stage2,7,18,0.10000000149011612,0.699999988079071,0.20000000298023224,stage1_pref_000_ckpt_191,-115.27925872802734
ours_stage2,Ours Stage2,7,19,0.10000000149011612,0.800000011920929,0.10000000149011612,stage1_pref_000_ckpt_191,-122.2614517211914
ours_stage2,Ours Stage2,7,20,0.10000000149011612,0.8999999761581421,0.0,stage1_pref_000_ckpt_191,-129.24365234375
ours_stage2,Ours Stage2,7,21,0.20000000298023224,0.0,0.800000011920929,stage2_ext_006_obj_1,-101.22966766357422
ours_stage2,Ours Stage2,7,22,0.20000000298023224,0.10000000149011612,0.699999988079071,stage2_ext_006_obj_1,-108.74264526367188
ours_stage2,Ours Stage2,7,23,0.20000000298023224,0.20000000298023224,0.6000000238418579,stage1_pref_000_ckpt_191,-115.81715393066406
ours_stage2,Ours Stage2,7,24,0.20000000298023224,0.30000001192092896,0.5,stage1_pref_000_ckpt_191,-122.79934692382812
ours_stage2,Ours Stage2,7,25,0.20000000298023224,0.4000000059604645,0.4000000059604645,stage1_pref_000_ckpt_191,-129.7815399169922
ours_stage2,Ours Stage2,7,26,0.20000000298023224,0.5,0.30000001192092896,stage1_pref_000_ckpt_191,-136.7637481689453
ours_stage2,Ours Stage2,7,27,0.20000000298023224,0.6000000238418579,0.20000000298023224,stage1_pref_000_ckpt_191,-143.74594116210938
ours_stage2,Ours Stage2,7,28,0.20000000298023224,0.699999988079071,0.10000000149011612,stage1_pref_000_ckpt_191,-150.72813415527344
ours_stage2,Ours Stage2,7,29,0.20000000298023224,0.800000011920929,0.0,stage1_pref_000_ckpt_191,-157.7103271484375
ours_stage2,Ours Stage2,7,30,0.30000001192092896,0.0,0.699999988079071,stage2_ext_006_obj_1,-136.91867065429688
ours_stage2,Ours Stage2,7,31,0.30000001192092896,0.10000000149011612,0.6000000238418579,stage1_pref_000_ckpt_191,-144.28382873535156
ours_stage2,Ours Stage2,7,32,0.30000001192092896,0.20000000298023224,0.5,stage1_pref_000_ckpt_191,-151.26602172851562
ours_stage2,Ours Stage2,7,33,0.30000001192092896,0.30000001192092896,0.4000000059604645,stage1_pref_000_ckpt_191,-158.24822998046875
ours_stage2,Ours Stage2,7,34,0.30000001192092896,0.4000000059604645,0.30000001192092896,stage1_pref_000_ckpt_191,-165.2304229736328
ours_stage2,Ours Stage2,7,35,0.30000001192092896,0.5,0.20000000298023224,stage1_pref_000_ckpt_191,-172.21261596679688
ours_stage2,Ours Stage2,7,36,0.30000001192092896,0.6000000238418579,0.10000000149011612,stage1_pref_000_ckpt_191,-179.19482421875
ours_stage2,Ours Stage2,7,37,0.30000001192092896,0.699999988079071,0.0,stage1_pref_000_ckpt_191,-186.17701721191406
ours_stage2,Ours Stage2,7,38,0.4000000059604645,0.0,0.6000000238418579,stage2_ext_006_obj_1,-172.607666015625
ours_stage2,Ours Stage2,7,39,0.4000000059604645,0.10000000149011612,0.5,stage1_pref_000_ckpt_191,-179.73269653320312
ours_stage2,Ours Stage2,7,40,0.4000000059604645,0.20000000298023224,0.4000000059604645,stage1_pref_000_ckpt_191,-186.71490478515625
ours_stage2,Ours Stage2,7,41,0.4000000059604645,0.30000001192092896,0.30000001192092896,stage1_pref_000_ckpt_191,-193.6970977783203
ours_stage2,Ours Stage2,7,42,0.4000000059604645,0.4000000059604645,0.20000000298023224,stage1_pref_000_ckpt_191,-200.67929077148438
ours_stage2,Ours Stage2,7,43,0.4000000059604645,0.5,0.10000000149011612,stage1_pref_000_ckpt_191,-207.6614990234375
ours_stage2,Ours Stage2,7,44,0.4000000059604645,0.6000000238418579,0.0,stage1_pref_000_ckpt_191,-214.64369201660156
ours_stage2,Ours Stage2,7,45,0.5,0.0,0.5,stage1_pref_000_ckpt_191,-208.19937133789062
ours_stage2,Ours Stage2,7,46,0.5,0.10000000149011612,0.4000000059604645,stage1_pref_000_ckpt_191,-215.18157958984375
ours_stage2,Ours Stage2,7,47,0.5,0.20000000298023224,0.30000001192092896,stage1_pref_000_ckpt_191,-222.1637725830078
ours_stage2,Ours Stage2,7,48,0.5,0.30000001192092896,0.20000000298023224,stage1_pref_000_ckpt_191,-229.14596557617188
ours_stage2,Ours Stage2,7,49,0.5,0.4000000059604645,0.10000000149011612,stage1_pref_000_ckpt_191,-236.128173828125
ours_stage2,Ours Stage2,7,50,0.5,0.5,0.0,stage1_pref_000_ckpt_191,-243.11036682128906
ours_stage2,Ours Stage2,7,51,0.6000000238418579,0.0,0.4000000059604645,stage1_pref_000_ckpt_191,-243.6482696533203
ours_stage2,Ours Stage2,7,52,0.6000000238418579,0.10000000149011612,0.30000001192092896,stage1_pref_000_ckpt_191,-250.63046264648438
ours_stage2,Ours Stage2,7,53,0.6000000238418579,0.20000000298023224,0.20000000298023224,stage1_pref_000_ckpt_191,-257.6126708984375
ours_stage2,Ours Stage2,7,54,0.6000000238418579,0.30000001192092896,0.10000000149011612,stage1_pref_000_ckpt_191,-264.5948486328125
ours_stage2,Ours Stage2,7,55,0.6000000238418579,0.4000000059604645,0.0,stage1_pref_000_ckpt_191,-271.5770568847656
ours_stage2,Ours Stage2,7,56,0.699999988079071,0.0,0.30000001192092896,stage1_pref_000_ckpt_191,-279.0971374511719
ours_stage2,Ours Stage2,7,57,0.699999988079071,0.10000000149011612,0.20000000298023224,stage1_pref_000_ckpt_191,-286.079345703125
ours_stage2,Ours Stage2,7,58,0.699999988079071,0.20000000298023224,0.10000000149011612,stage1_pref_000_ckpt_191,-293.0615234375
ours_stage2,Ours Stage2,7,59,0.699999988079071,0.30000001192092896,0.0,stage1_pref_000_ckpt_191,-300.0437316894531
ours_stage2,Ours Stage2,7,60,0.800000011920929,0.0,0.20000000298023224,stage1_pref_000_ckpt_191,-314.5460205078125
ours_stage2,Ours Stage2,7,61,0.800000011920929,0.10000000149011612,0.10000000149011612,stage1_pref_000_ckpt_191,-321.5281982421875
ours_stage2,Ours Stage2,7,62,0.800000011920929,0.20000000298023224,0.0,stage1_pref_000_ckpt_191,-328.5104064941406
ours_stage2,Ours Stage2,7,63,0.8999999761581421,0.0,0.10000000149011612,stage1_pref_000_ckpt_191,-349.994873046875
ours_stage2,Ours Stage2,7,64,0.8999999761581421,0.10000000149011612,0.0,stage1_pref_000_ckpt_191,-356.9770812988281
ours_stage2,Ours Stage2,7,65,1.0,0.0,0.0,stage1_pref_000_ckpt_191,-385.4437561035156
ours_stage2,Ours Stage2,11,0,0.0,0.0,1.0,stage1_pref_002_ckpt_191,-0.02500000037252903
ours_stage2,Ours Stage2,11,1,0.0,0.10000000149011612,0.8999999761581421,stage1_pref_002_ckpt_191,-16.40826988220215
ours_stage2,Ours Stage2,11,2,0.0,0.20000000298023224,0.800000011920929,stage2_ext_015_obj_2,-32.72669219970703
ours_stage2,Ours Stage2,11,3,0.0,0.30000001192092896,0.699999988079071,stage2_ext_015_obj_2,-48.810035705566406
ours_stage2,Ours Stage2,11,4,0.0,0.4000000059604645,0.6000000238418579,stage2_ext_002_obj_0,-57.284210205078125
ours_stage2,Ours Stage2,11,5,0.0,0.5,0.5,stage2_ext_002_obj_0,-64.72786712646484
ours_stage2,Ours Stage2,11,6,0.0,0.6000000238418579,0.4000000059604645,stage2_ext_002_obj_0,-72.17152404785156
ours_stage2,Ours Stage2,11,7,0.0,0.699999988079071,0.30000001192092896,stage2_ext_002_obj_0,-79.61517333984375
ours_stage2,Ours Stage2,11,8,0.0,0.800000011920929,0.20000000298023224,stage2_ext_002_obj_0,-87.05883026123047
ours_stage2,Ours Stage2,11,9,0.0,0.8999999761581421,0.10000000149011612,stage2_ext_002_obj_0,-94.50248718261719
ours_stage2,Ours Stage2,11,10,0.0,1.0,0.0,stage2_ext_002_obj_0,-101.9461441040039
ours_stage2,Ours Stage2,11,11,0.10000000149011612,0.0,0.8999999761581421,stage2_ext_002_obj_0,-65.38674926757812
ours_stage2,Ours Stage2,11,12,0.10000000149011612,0.10000000149011612,0.800000011920929,stage2_ext_002_obj_0,-72.83040618896484
ours_stage2,Ours Stage2,11,13,0.10000000149011612,0.20000000298023224,0.699999988079071,stage2_ext_002_obj_0,-80.27406311035156
ours_stage2,Ours Stage2,11,14,0.10000000149011612,0.30000001192092896,0.6000000238418579,stage2_ext_002_obj_0,-87.71772003173828
ours_stage2,Ours Stage2,11,15,0.10000000149011612,0.4000000059604645,0.5,stage2_ext_002_obj_0,-95.161376953125
ours_stage2,Ours Stage2,11,16,0.10000000149011612,0.5,0.4000000059604645,stage2_ext_002_obj_0,-102.60502624511719
ours_stage2,Ours Stage2,11,17,0.10000000149011612,0.6000000238418579,0.30000001192092896,stage2_ext_002_obj_0,-110.04869079589844
ours_stage2,Ours Stage2,11,18,0.10000000149011612,0.699999988079071,0.20000000298023224,stage2_ext_002_obj_0,-117.4923324584961
ours_stage2,Ours Stage2,11,19,0.10000000149011612,0.800000011920929,0.10000000149011612,stage2_ext_002_obj_0,-124.93600463867188
ours_stage2,Ours Stage2,11,20,0.10000000149011612,0.8999999761581421,0.0,stage2_ext_002_obj_0,-132.37965393066406
ours_stage2,Ours Stage2,11,21,0.20000000298023224,0.0,0.800000011920929,stage2_ext_002_obj_0,-103.263916015625
ours_stage2,Ours Stage2,11,22,0.20000000298023224,0.10000000149011612,0.699999988079071,stage2_ext_002_obj_0,-110.70757293701172
ours_stage2,Ours Stage2,11,23,0.20000000298023224,0.20000000298023224,0.6000000238418579,stage2_ext_002_obj_0,-118.15122985839844
ours_stage2,Ours Stage2,11,24,0.20000000298023224,0.30000001192092896,0.5,stage2_ext_002_obj_0,-125.59488677978516
ours_stage2,Ours Stage2,11,25,0.20000000298023224,0.4000000059604645,0.4000000059604645,stage2_ext_002_obj_0,-133.03854370117188
ours_stage2,Ours Stage2,11,26,0.20000000298023224,0.5,0.30000001192092896,stage2_ext_002_obj_0,-140.48219299316406
ours_stage2,Ours Stage2,11,27,0.20000000298023224,0.6000000238418579,0.20000000298023224,stage2_ext_002_obj_0,-147.9258575439453
ours_stage2,Ours Stage2,11,28,0.20000000298023224,0.699999988079071,0.10000000149011612,stage2_ext_002_obj_0,-155.3695068359375
ours_stage2,Ours Stage2,11,29,0.20000000298023224,0.800000011920929,0.0,stage2_ext_002_obj_0,-162.81317138671875
ours_stage2,Ours Stage2,11,30,0.30000001192092896,0.0,0.699999988079071,stage2_ext_002_obj_0,-141.14108276367188
ours_stage2,Ours Stage2,11,31,0.30000001192092896,0.10000000149011612,0.6000000238418579,stage2_ext_002_obj_0,-148.58474731445312
ours_stage2,Ours Stage2,11,32,0.30000001192092896,0.20000000298023224,0.5,stage2_ext_002_obj_0,-156.0283966064453
ours_stage2,Ours Stage2,11,33,0.30000001192092896,0.30000001192092896,0.4000000059604645,stage2_ext_002_obj_0,-163.4720458984375
ours_stage2,Ours Stage2,11,34,0.30000001192092896,0.4000000059604645,0.30000001192092896,stage2_ext_002_obj_0,-170.91571044921875
ours_stage2,Ours Stage2,11,35,0.30000001192092896,0.5,0.20000000298023224,stage2_ext_002_obj_0,-178.359375
ours_stage2,Ours Stage2,11,36,0.30000001192092896,0.6000000238418579,0.10000000149011612,stage2_ext_002_obj_0,-185.8030242919922
ours_stage2,Ours Stage2,11,37,0.30000001192092896,0.699999988079071,0.0,stage2_ext_002_obj_0,-193.24667358398438
ours_stage2,Ours Stage2,11,38,0.4000000059604645,0.0,0.6000000238418579,stage2_ext_002_obj_0,-179.01824951171875
ours_stage2,Ours Stage2,11,39,0.4000000059604645,0.10000000149011612,0.5,stage2_ext_002_obj_0,-186.46189880371094
ours_stage2,Ours Stage2,11,40,0.4000000059604645,0.20000000298023224,0.4000000059604645,stage2_ext_002_obj_0,-193.9055633544922
ours_stage2,Ours Stage2,11,41,0.4000000059604645,0.30000001192092896,0.30000001192092896,stage2_ext_002_obj_0,-201.34921264648438
ours_stage2,Ours Stage2,11,42,0.4000000059604645,0.4000000059604645,0.20000000298023224,stage2_ext_002_obj_0,-208.79287719726562
ours_stage2,Ours Stage2,11,43,0.4000000059604645,0.5,0.10000000149011612,stage2_ext_002_obj_0,-216.2365264892578
ours_stage2,Ours Stage2,11,44,0.4000000059604645,0.6000000238418579,0.0,stage2_ext_002_obj_0,-223.68019104003906
ours_stage2,Ours Stage2,11,45,0.5,0.0,0.5,stage2_ext_002_obj_0,-216.89541625976562
ours_stage2,Ours Stage2,11,46,0.5,0.10000000149011612,0.4000000059604645,stage2_ext_002_obj_0,-224.3390655517578
ours_stage2,Ours Stage2,11,47,0.5,0.20000000298023224,0.30000001192092896,stage2_ext_002_obj_0,-231.78271484375
ours_stage2,Ours Stage2,11,48,0.5,0.30000001192092896,0.20000000298023224,stage2_ext_002_obj_0,-239.2263946533203
