method_name,display_group,hypervolume,expected_utility,sparsity,num_pareto_records,coverage_ratio,unique_assigned_policies,final_critical_compromised_hosts,critical_impact_count,high_disruption_action_rate
ours_stage2,Ours,3290687.0625 $\pm$ 91067.5542,-117.3324 $\pm$ 2.9611,5593.5527 $\pm$ 7050.5095,4.0000 $\pm$ 2.0000,0.7176 $\pm$ 0.1540,2.6000 $\pm$ 1.0198,0.0705 $\pm$ 0.0304,0.0714 $\pm$ 0.0261,0.1888 $\pm$ 0.0770
pcn,PCN-lite,4003017.1656 $\pm$ 217249.5551,-131.4108 $\pm$ 29.9475,346.0968 $\pm$ 682.6844,6.0000 $\pm$ 4.0988,0.5752 $\pm$ 0.2257,2.6000 $\pm$ 0.8000,0.0016 $\pm$ 0.0032,0.0016 $\pm$ 0.0032,0.1341 $\pm$ 0.1234
preference_conditioned_ppo,Pref-Cond PPO,3033873.2500 $\pm$ 442592.1968,-113.2523 $\pm$ 3.6506,0.8066 $\pm$ 0.6303,4.8000 $\pm$ 1.9391,0.8350 $\pm$ 0.2427,3.6000 $\pm$ 1.0198,0.0000 $\pm$ 0.0000,0.0000 $\pm$ 0.0000,0.3243 $\pm$ 0.1425
weighted_sum,Weighted-Sum,4232624.8875 $\pm$ 50823.9632,-102.2040 $\pm$ 4.4841,699.3182 $\pm$ 720.1607,4.4000 $\pm$ 1.3565,0.7233 $\pm$ 0.1489,3.0000 $\pm$ 0.6325,0.0059 $\pm$ 0.0089,0.0060 $\pm$ 0.0089,0.0737 $\pm$ 0.0900
