method_name,display_group,hypervolume,expected_utility,sparsity,num_pareto_records,coverage_ratio,unique_assigned_policies,final_critical_compromised_hosts,critical_impact_count,high_disruption_action_rate
ours_stage2_v2_4,Ours Stage2 V2.4,22909782.8333 $\pm$ 4246646.4943,-41.9193 $\pm$ 4.1438,579.2747 $\pm$ 497.3813,5.3333 $\pm$ 1.2472,0.6048 $\pm$ 0.0875,3.3333 $\pm$ 1.2472,0.0000 $\pm$ 0.0000,0.0000 $\pm$ 0.0000,0.8124 $\pm$ 0.0860
preference_conditioned_ppo_4obj,Preference-Conditioned PPO 4obj,3679798.0017 $\pm$ 1199920.1181,-167.9338 $\pm$ 9.3372,77.1827 $\pm$ 28.1963,15.3333 $\pm$ 4.4969,0.3635 $\pm$ 0.1290,5.0000 $\pm$ 0.8165,0.7161 $\pm$ 0.1124,6.6230 $\pm$ 0.4312,0.9254 $\pm$ 0.0569
stage1_only_4obj,Stage1 Only 4obj,22171509.6667 $\pm$ 3830147.9544,-44.8801 $\pm$ 1.6781,664.9548 $\pm$ 425.8925,3.0000 $\pm$ 0.8165,0.8056 $\pm$ 0.1416,2.3333 $\pm$ 0.4714,0.0000 $\pm$ 0.0000,0.0000 $\pm$ 0.0000,0.8484 $\pm$ 0.0927
weighted_sum_4obj,Weighted-Sum 4obj,5838278.8070 $\pm$ 646041.5277,-161.5666 $\pm$ 17.5527,7484.5169 $\pm$ 444.1417,17.6667 $\pm$ 0.9428,0.2466 $\pm$ 0.0351,4.3333 $\pm$ 0.4714,0.7685 $\pm$ 0.1072,6.7922 $\pm$ 3.0889,0.8975 $\pm$ 0.0261
