seed,candidate_label,policy_id,hostname,subnet,role_group,is_critical,compromised_presence_rate,new_compromise_count,recovered_count,blue_target_count,blue_restore_count,blue_analyse_count,blue_decoy_count,red_target_count,red_impact_count
11,selected,stage2_ext_005_obj_1,User0,User,user,False,1.0,0,0,2,0,0,2,0,0
11,selected,stage2_ext_005_obj_1,User1,User,user,False,0.2205,36,0,0,0,0,0,36,0
11,selected,stage2_ext_005_obj_1,User2,User,user,False,0.2818,46,0,0,0,0,0,46,0
11,selected,stage2_ext_005_obj_1,User3,User,user,False,0.2572,42,0,2,0,1,0,42,0
11,selected,stage2_ext_005_obj_1,User4,User,user,False,0.2205,36,0,7,0,7,0,36,0
11,selected,stage2_ext_005_obj_1,Defender,Enterprise,defender,False,0.0,0,0,0,0,0,0,0,0
11,selected,stage2_ext_005_obj_1,Enterprise0,Enterprise,enterprise,False,0.234,3744,3666,3669,3666,0,3,3666,0
11,selected,stage2_ext_005_obj_1,Enterprise1,Enterprise,enterprise,False,0.246,3936,3854,3854,3854,0,0,3854,0
11,selected,stage2_ext_005_obj_1,Enterprise2,Enterprise,enterprise,False,0.0,0,0,0,0,0,0,0,0
11,selected,stage2_ext_005_obj_1,Op_Host0,Operational,operational,False,0.0,0,0,4,0,0,4,0,0
11,selected,stage2_ext_005_obj_1,Op_Host1,Operational,operational,False,0.0,0,0,0,0,0,0,0,0
11,selected,stage2_ext_005_obj_1,Op_Host2,Operational,operational,False,0.0,0,0,0,0,0,0,0,0
11,selected,stage2_ext_005_obj_1,Op_Server0,Operational,mission_critical,True,0.0,0,0,0,0,0,0,0,0
