selector,preference_index,preference,selected_policy_id,selected_utility,selected_passed_strict,selected_near_strict,selected_strict_margin,selected_business_return,selected_cost_return,selected_mean_violation,selected_final_critical_compromised_hosts,selected_high_disruption_action_rate
utility_argmax,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_191,-0.05000000074505806,False,False,-38.358741760253906,-163.85873413085938,-0.03700000047683716,38.858741760253906,1.0,0.00175
strict_lexi,0,"[0.0, 0.0, 1.0]",stage1_pref_000_ckpt_096,-25.064167022705078,False,False,-5.656749725341797,-117.2723617553711,-25.572500228881836,6.156749725341797,0.725,0.93375
risk_adjusted_utility,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_191,-0.05000000074505806,False,False,-38.358741760253906,-163.85873413085938,-0.03700000047683716,38.858741760253906,1.0,0.00175
utility_argmax,1,"[0.0, 0.1, 0.9]",stage1_pref_002_ckpt_191,-16.43187713623047,False,False,-38.358741760253906,-163.85873413085938,-0.03700000047683716,38.858741760253906,1.0,0.00175
strict_lexi,1,"[0.0, 0.1, 0.9]",stage1_pref_000_ckpt_096,-34.29590606689453,False,False,-5.656749725341797,-117.2723617553711,-25.572500228881836,6.156749725341797,0.725,0.93375
risk_adjusted_utility,1,"[0.0, 0.1, 0.9]",stage1_pref_002_ckpt_191,-16.43187713623047,False,False,-38.358741760253906,-163.85873413085938,-0.03700000047683716,38.858741760253906,1.0,0.00175
utility_argmax,2,"[0.0, 0.2, 0.8]",stage2_ext_007_obj_0,-32.70764923095703,False,False,-38.389244079589844,-163.88925170898438,-0.36625003814697266,38.889244079589844,1.0,0.016
strict_lexi,2,"[0.0, 0.2, 0.8]",stage1_pref_000_ckpt_096,-43.52764892578125,False,False,-5.656749725341797,-117.2723617553711,-25.572500228881836,6.156749725341797,0.725,0.93375
risk_adjusted_utility,2,"[0.0, 0.2, 0.8]",stage2_ext_007_obj_0,-32.70764923095703,False,False,-38.389244079589844,-163.88925170898438,-0.36625003814697266,38.889244079589844,1.0,0.016
utility_argmax,3,"[0.0, 0.3, 0.7]",stage2_ext_007_obj_0,-48.927101135253906,False,False,-38.389244079589844,-163.88925170898438,-0.36625003814697266,38.889244079589844,1.0,0.016
strict_lexi,3,"[0.0, 0.3, 0.7]",stage1_pref_000_ckpt_096,-52.75938415527344,False,False,-5.656749725341797,-117.2723617553711,-25.572500228881836,6.156749725341797,0.725,0.93375
risk_adjusted_utility,3,"[0.0, 0.3, 0.7]",stage2_ext_007_obj_0,-48.927101135253906,False,False,-38.389244079589844,-163.88925170898438,-0.36625003814697266,38.889244079589844,1.0,0.016
utility_argmax,4,"[0.0, 0.4, 0.6]",stage1_pref_000_ckpt_191,-58.883792877197266,False,False,-9.680063247680664,-106.2420654296875,-30.91400146484375,10.180063247680664,0.5,0.986
strict_lexi,4,"[0.0, 0.4, 0.6]",stage1_pref_000_ckpt_096,-61.991127014160156,False,False,-5.656749725341797,-117.2723617553711,-25.572500228881836,6.156749725341797,0.725,0.93375
risk_adjusted_utility,4,"[0.0, 0.4, 0.6]",stage1_pref_000_ckpt_191,-58.883792877197266,False,False,-9.680063247680664,-106.2420654296875,-30.91400146484375,10.180063247680664,0.5,0.986
utility_argmax,5,"[0.0, 0.5, 0.5]",stage1_pref_000_ckpt_191,-65.8659896850586,False,False,-9.680063247680664,-106.2420654296875,-30.91400146484375,10.180063247680664,0.5,0.986
