method_name,display_name,seed,event_key,event_name,metric_field,metric_kind,semantic_eval_episodes,observed_value,observed_count,observed_rate,bound_applicable,clopper_pearson_upper,hoeffding_upper,metrics_path
lagrangian_ppo_4obj,Lagrangian PPO,7,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,40,1.0,40,1.0,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0007/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,7,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,40,0.775,31,0.775,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0007/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,7,critical_impact,Any Critical Impact,critical_impact_count,count_mean,40,4.35,174,4.35,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0007/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,7,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,40,0.775,31,0.775,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0007/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,11,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,40,0.95,38,0.95,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0011/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,11,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,40,0.9,36,0.9,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0011/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,11,critical_impact,Any Critical Impact,critical_impact_count,count_mean,40,1.0,40,1.0,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0011/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,11,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,40,0.9,36,0.9,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0011/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,19,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,40,0.975,39,0.975,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0019/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,19,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,40,0.975,39,0.975,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0019/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,19,critical_impact,Any Critical Impact,critical_impact_count,count_mean,40,1.125,45,1.125,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0019/constraint_metrics.json
lagrangian_ppo_4obj,Lagrangian PPO,19,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,40,0.975,39,0.975,False,,,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/lagrangian_ppo_4obj/seed_0019/constraint_metrics.json
