seed,candidate_label,policy_id,hostname,subnet,role_group,is_critical,compromised_presence_rate,new_compromise_count,recovered_count,blue_target_count,blue_restore_count,blue_analyse_count,blue_decoy_count,red_target_count,red_impact_count
19,selected,stage2_ext_031_obj_1,User0,User,user,False,1.0,0,0,388,23,162,176,0,0
19,selected,stage2_ext_031_obj_1,User1,User,user,False,0.0508,33,32,1408,686,21,444,40,0
19,selected,stage2_ext_031_obj_1,User2,User,user,False,0.2656,44,1,1857,3,922,913,49,0
19,selected,stage2_ext_031_obj_1,User3,User,user,False,0.2788,48,4,2739,17,102,2538,128,0
19,selected,stage2_ext_031_obj_1,User4,User,user,False,0.2328,38,0,373,1,155,207,116,0
19,selected,stage2_ext_031_obj_1,Defender,Enterprise,defender,False,0.0,0,0,1322,42,20,1066,0,0
19,selected,stage2_ext_031_obj_1,Enterprise0,Enterprise,enterprise,False,0.4706,84,0,1546,4,1,1540,86,0
19,selected,stage2_ext_031_obj_1,Enterprise1,Enterprise,enterprise,False,0.3173,74,40,770,134,4,623,74,0
19,selected,stage2_ext_031_obj_1,Enterprise2,Enterprise,enterprise,False,0.1634,209,200,2091,1308,3,731,257,0
19,selected,stage2_ext_031_obj_1,Op_Host0,Operational,operational,False,0.0,0,0,1002,189,127,665,0,0
19,selected,stage2_ext_031_obj_1,Op_Host1,Operational,operational,False,0.0,0,0,826,5,2,749,0,0
19,selected,stage2_ext_031_obj_1,Op_Host2,Operational,operational,False,0.0,0,0,854,79,43,731,0,0
19,selected,stage2_ext_031_obj_1,Op_Server0,Operational,mission_critical,True,0.7977,264,110,461,138,5,315,12718,12346
